Tipo de actividad;Fecha;Favorito;Título;Distancia;Calorías;Tiempo;Frecuencia cardiaca media;Frecuencia cardiaca máxima;TE aeróbico;Cadencia de carrera media;Cadencia de carrera máxima;Ritmo medio;Ritmo óptimo;Ascenso total;Descenso total;Longitud media de zancada;Relación vertical media;Oscilación vertical media;Tiempo medio de contacto con el suelo;Cadencia de carrera media;Cadencia de carrera máxima;Training Stress Score®;Potencia media;Potencia máxima;Dificultad;Fluidez;Swolf medio;Velocidad media de palada;Repeticiones totales;Tiempo de inmersión;Temperatura mínima;Intervalo en superficie;Descompresión;Mejor tiempo de vuelta;Número de vueltas;Temperatura máxima;Tiempo en movimiento;Tiempo transcurrido;Altura mínima;Altura máxima
Trail running;28/08/2022 10:42;false;Las Palmas de Gran Canaria Trail running;5.45;463;0:30:04;165;178;3.7;168;191;5:31;3:45;103;71;1.08;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;02:16.83;6;28.0;0:30:02;0:30:04;236;339
Carrera;20/08/2022 9:04;false;Santa Brígida Carrera;10.25;778;0:56:11;157;170;3.9;167;179;5:29;3:49;127;151;1.08;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;03:02.10;11;30.0;0:56:06;0:56:11;429;462
Trail running;15/08/2022 9:27;false;Santa Brígida Trail running;15.05;1,457;1:55:43;156;176;4.0;147;230;7:41;4:05;469;476;0.88;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;26.0;0:00;No;00:39.22.1;16;32.0;1:54:52;2:05:45;285;559
Carrera;14/08/2022 19:51;false;Santa Brígida Carrera;5.00;356;0:30:25;139;152;2.3;164;175;6:05;4:36;47;57;1.00;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;00:01.53.7;6;29.0;0:30:20;0:30:25;435;467
Carrera;11/08/2022 20:03;false;Santa Brígida Carrera;10.00;772;0:49:08;163;182;4.1;171;187;4:55;2:52;135;165;1.19;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;03:09.06.3;10;28.0;0:48:56;0:49:08;391;457
Trail running;05/08/2022 20:42;false;Santa Brígida Trail running;6.32;493;0:37:29;142;158;2.8;163;187;5:56;4:35;53;167;1.04;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;37:28.65.9;1;30.0;0:37:29;0:37:29;282;451
Carrera;02/08/2022 20:38;false;Santa Brígida Carrera;8.02;655;0:43:17;159;178;3.6;169;183;5:24;3:47;128;131;1.10;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;27.0;0:00;No;00:03.70.9;9;31.0;0:42:55;0:43:17;438;503
Trail running;30/07/2022 18:17;false;Teror Trail running;16.83;1,953;2:40:04;155;176;4.8;121;249;9:31;3:47;877;876;0.87;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;02:40:04.37;1;32.0;2:30:01;2:40:04;380;940
Carrera;21/07/2022 20:26;false;Santa Brígida Carrera;11.01;921;1:02:04;157;176;3.7;169;183;5:38;4:15;166;176;1.05;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;26.0;0:00;No;00:01.86;12;31.0;1:01:54;1:03:25;276;335
Trail running;17/07/2022 19:13;false;Santa Brígida Trail running;10.43;857;1:05:00;150;176;3.3;149;238;6:14;3:56;282;308;1.08;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;01:04:59.70.6;1;29.0;1:04:45;1:08:23;167;350
Carrera;13/07/2022 8:39;false;Santa Brígida Carrera;15.01;1,144;1:19:22;156;179;4.1;169;193;5:17;3:20;179;201;1.12;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;21.0;0:00;No;00:01.90.7;16;28.0;1:18:46;1:24:28;309;360
Carrera;09/07/2022 20:45;false;Carrera;2.54;157;0:12:48;132;148;2.0;169;182;5:03;3:58;30;46;1.17;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;28.0;0:00;No;02:57.60.4;3;30.0;0:12:48;0:12:48;333;379
Trail running;02/07/2022 8:40;false;Teror Trail running;13.09;1,053;1:43:25;132;167;2.6;109;244;7:54;2:49;462;465;1.16;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;20.0;0:00;No;01:43:24.99.2;1;28.0;1:28:39;1:43:25;440;629
Trail running;28/06/2022 11:12;false;Santa Brígida Trail running;14.03;1,258;1:46:14;149;177;3.7;138;249;7:34;4:08;432;434;0.95;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;01:46:13.72.7;1;29.0;1:42:32;1:52:27;265;536
Carrera;14/06/2022 10:14;false;Santa Brígida - Series 400x6x1.3;9.22;750;0:54:01;152;174;3.3;155;226;5:51;2:43;97;93;1.08;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;26.0;0:00;No;00:08.40.7;20;29.0;0:53:07;0:54:01;424;466
Carrera;11/06/2022 7:00;false;Carrera;0.01;1;00:00:09.3;104;112;0.0;8;110;13:43;14:46;--;--;8.61;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;35.0;0:00;No;00:09.29.1;1;35.0;0:00:08;00:00:13.0;476;483
Carrera;10/06/2022 20:36;false;Santa Brígida Carrera;6.18;472;0:31:50;152;173;3.2;166;181;5:09;3:49;69;89;1.17;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;22.0;0:00;No;00:57.24.9;7;29.0;0:31:10;0:33:25;441;483
Trail running;07/06/2022 19:33;false;Santa Brígida Trail running;11.01;995;1:03:22;163;190;3.9;157;225;5:45;3:39;298;311;1.10;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;01:03:21.63.5;1;29.0;1:03:19;1:11:09;332;514
Carrera;02/06/2022 8:21;false;Santa Brígida - Series 400x6x1.3;9.44;758;0:53:59;157;188;3.4;156;221;5:43;3:01;81;89;1.12;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;00:09.55.3;20;28.0;0:52:35;0:53:59;477;510
Trail running;30/05/2022 19:40;false;Santa Brígida Trail running;11.11;899;1:01:55;154;175;3.2;171;249;5:34;4:08;177;176;1.05;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;01:01:54.50.9;1;30.0;1:01:49;1:18:57;476;576
Trail running;28/05/2022 8:16;false;Santa Brígida Trail running;25.01;1,632;2:30:30;144;174;3.3;156;240;6:01;4:18;235;512;1.06;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;23.0;0:00;No;02:30:29.80.9;1;30.0;2:30:15;2:50:00;31;528
Trail running;27/05/2022 11:01;false;Santa Brígida Trail running;8.01;777;0:50:45;159;178;3.7;155;227;6:20;4:18;219;231;1.02;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;50:44.61.4;1;30.0;0:50:15;0:51:40;413;528
Trail running;24/05/2022 17:16;false;Santa Brígida Trail running;15.01;1,492;1:55:18;155;175;3.9;145;249;7:41;0:51;688;687;0.90;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;01:55:18.13.9;1;29.0;1:53:13;2:31:33;384;749
Carrera;22/05/2022 18:29;false;Santa Brígida Carrera;6.30;512;0:34:24;157;175;3.4;169;183;5:28;3:53;85;92;1.08;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;25.0;0:00;No;02:08.08.7;7;30.0;0:34:11;0:34:24;472;504
Trail running;21/05/2022 18:53;false;Santa Brígida Trail running;9.02;792;1:01:10;148;181;3.5;157;235;6:47;4:15;239;244;0.94;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;01:01:09.72.4;1;28.0;1:00:12;1:01:10;381;500
Trail running;14/05/2022 8:57;false;Santa Brígida Trail running;14.35;1,373;1:50:29;151;185;3.4;142;227;7:42;4:27;664;682;0.92;0.0;0.0;0;0;0;0.0;0;0;0.0;0.0;0;0;0;0:00;24.0;0:00;No;01:50:28.51.5;1;31.0;1:49:04;1:59:38;371;735
