web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1684506935-50","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","00:00","Despejado","21°","11 km/h","23%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-51","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","","","","","","","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-52","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","00:30","Despejado","21°","9 km/h","25%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-53","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","01:00","Despejado","19°","2 km/h","28%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-54","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","01:30","Despejado","20°","13 km/h","26%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-55","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","02:00","Despejado","21°","9 km/h","25%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-56","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","02:30","Despejado","22°","7 km/h","23%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-57","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","03:00","Despejado","21°","11 km/h","25%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-58","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","03:30","Despejado","21°","7 km/h","23%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-59","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","04:00","Despejado","22°","7 km/h","21%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-60","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","04:30","Despejado","22°","6 km/h","23%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-61","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","05:00","Despejado","22°","7 km/h","23%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-62","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","05:30","Despejado","19°","2 km/h","26%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-63","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","06:00","Despejado","20°","9 km/h","28%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-64","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","06:30","Despejado","20°","9 km/h","28%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-65","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","07:00","Despejado","19°","9 km/h","34%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-66","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","07:30","Despejado","19°","6 km/h","34%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-67","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","08:00","Despejado","19°","7 km/h","34%","1026 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-68","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","08:30","Despejado","18°","2 km/h","37%","1026 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-69","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","09:00","Despejado","21°","4 km/h","35%","1026 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-70","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","09:30","Despejado","23°","2 km/h","33%","1026 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-71","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","10:00","Despejado","23°","4 km/h","38%","1027 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-72","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","10:30","Despejado","23°","4 km/h","36%","1027 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-73","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","11:00","Despejado","24°","2 km/h","36%","1027 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-74","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","11:30","Despejado","25°","4 km/h","32%","1027 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-75","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","12:00","Despejado","24°","7 km/h","36%","1027 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-76","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","12:30","Despejado","24°","9 km/h","38%","1026 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-77","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","13:00","Despejado","24°","9 km/h","36%","1026 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-78","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","13:30","Despejado","24°","7 km/h","34%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-79","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","14:00","Despejado","24°","9 km/h","38%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-80","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","14:30","Despejado","23°","9 km/h","44%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-81","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","15:00","Despejado","23°","11 km/h","47%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-82","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","15:30","Despejado","23°","9 km/h","41%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-83","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","16:00","Despejado","23°","9 km/h","41%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-84","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","16:30","Despejado","23°","6 km/h","44%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-85","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","17:00","Despejado","23°","7 km/h","47%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-86","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","17:30","Despejado","22°","6 km/h","50%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-87","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","18:00","Despejado","22°","6 km/h","57%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-88","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","18:30","Despejado","21°","9 km/h","60%","1024 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-89","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","19:00","Despejado","21°","7 km/h","60%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-90","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","19:30","Despejado","20°","4 km/h","60%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-91","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","20:00","Despejado","19°","7 km/h","60%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-92","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","20:30","Despejado","19°","11 km/h","60%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-93","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","21:00","Despejado","20°","15 km/h","60%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-94","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","21:30","Despejado","19°","15 km/h","64%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-95","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","22:00","Despejado","18°","13 km/h","64%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-96","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","22:30","Despejado","19°","13 km/h","64%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-97","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","23:00","Despejado","18°","13 km/h","68%","1026 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506935-98","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Domingo 2 Enero 2022","23:30","Despejado","18°","17 km/h","73%","1025 hPa","https://www.tutiempo.net/registros/gclp/2-enero-2022.html"
"1684506938-99","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","00:00","Despejado","19°","19 km/h","73%","1025 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-100","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","","","","","","","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-101","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","00:30","Despejado","18°","17 km/h","73%","1025 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-102","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","01:00","Despejado","18°","17 km/h","68%","1025 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-103","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","01:30","Despejado","18°","15 km/h","68%","1025 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-104","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","02:00","Despejado","17°","15 km/h","63%","1025 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-105","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","02:30","Despejado","18°","15 km/h","52%","1024 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-106","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","03:00","Despejado","17°","13 km/h","45%","1024 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-107","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","03:30","Despejado","18°","9 km/h","34%","1024 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-108","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","04:00","Despejado","18°","9 km/h","34%","1024 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-109","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","04:30","Despejado","18°","9 km/h","34%","1024 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-110","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","05:00","Despejado","17°","11 km/h","34%","1024 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-111","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","05:30","Despejado","17°","11 km/h","36%","1024 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-112","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","06:00","Despejado","17°","11 km/h","39%","1024 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-113","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","06:30","Despejado","17°","9 km/h","34%","1024 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-114","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","07:00","Nubes dispersas","16°","11 km/h","36%","1024 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-115","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","07:30","Nubes dispersas","19°","9 km/h","34%","1025 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-116","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","08:00","Nubes dispersas","18°","En calma","37%","1025 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-117","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","08:30","Nubes dispersas","18°","En calma","52%","1025 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-118","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","09:00","Nubes dispersas","19°","4 km/h","68%","1025 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-119","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","09:30","Despejado","21°","4 km/h","53%","1025 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-120","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","10:00","Despejado","22°","2 km/h","50%","1026 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-121","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","10:30","Despejado","23°","6 km/h","44%","1026 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-122","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","11:00","Despejado","23°","6 km/h","44%","1026 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-123","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","11:30","Despejado","23°","6 km/h","47%","1026 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-124","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","12:00","Despejado","23°","4 km/h","47%","1026 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-125","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","12:30","Despejado","23°","4 km/h","47%","1025 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-126","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","13:00","Despejado","23°","6 km/h","44%","1025 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-127","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","13:30","Despejado","22°","7 km/h","53%","1025 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-128","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","14:00","Despejado","23°","7 km/h","47%","1024 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-129","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","14:30","Despejado","23°","9 km/h","44%","1023 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-130","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","15:00","Despejado","23°","13 km/h","47%","1023 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-131","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","15:30","Despejado","23°","9 km/h","47%","1023 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-132","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","16:00","Despejado","23°","7 km/h","44%","1023 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-133","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","16:30","Despejado","23°","9 km/h","38%","1023 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-134","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","17:00","Despejado","23°","9 km/h","44%","1023 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-135","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","17:30","Despejado","23°","11 km/h","38%","1023 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-136","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","18:00","Despejado","22°","13 km/h","46%","1023 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-137","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","18:30","Despejado","21°","13 km/h","43%","1023 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-138","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","19:00","Nubes dispersas","21°","15 km/h","49%","1023 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
"1684506938-139","https://www.tutiempo.net/registros/gclp/1-enero-2022.html","Lunes 3 Enero 2022","19:30","Nubes dispersas","20°","19 km/h","56%","1023 hPa","https://www.tutiempo.net/registros/gclp/3-enero-2022.html"
